symbol,security,sector,sub_industry
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals"
MSFT,Microsoft Corporation,Information Technology,"Systems Software"
NVDA,NVIDIA Corporation,Information Technology,"Semiconductors"
GOOGL,Alphabet Inc. Class A,Communication Services,"Interactive Media & Services"
GOOG,Alphabet Inc. Class C,Communication Services,"Interactive Media & Services"
AMZN,Amazon.com Inc.,Consumer Discretionary,"Broadline Retail"
META,Meta Platforms Inc.,Communication Services,"Interactive Media & Services"
TSLA,Tesla Inc.,Consumer Discretionary,"Automobile Manufacturers"
BRK-B,Berkshire Hathaway Inc. Class B,Financials,"Multi-Sector Holdings"
LLY,Eli Lilly and Company,Health Care,"Pharmaceuticals"
JPM,JPMorgan Chase & Co.,Financials,"Diversified Banks"
V,Visa Inc.,Financials,"Transaction & Payment Processing Services"
XOM,Exxon Mobil Corporation,Energy,"Integrated Oil & Gas"
UNH,UnitedHealth Group Incorporated,Health Care,"Managed Health Care"
MA,Mastercard Incorporated,Financials,"Transaction & Payment Processing Services"
AVGO,Broadcom Inc.,Information Technology,"Semiconductors"
JNJ,Johnson & Johnson,Health Care,"Pharmaceuticals"
PG,Procter & Gamble Company,Consumer Staples,"Household Products"
HD,Home Depot Inc.,Consumer Discretionary,"Home Improvement Retail"
COST,Costco Wholesale Corporation,Consumer Staples,"Consumer Staples Merchandise Retail"
ORCL,Oracle Corporation,Information Technology,"Systems Software"
ABBV,AbbVie Inc.,Health Care,"Biotechnology"
MRK,Merck & Co. Inc.,Health Care,"Pharmaceuticals"
CVX,Chevron Corporation,Energy,"Integrated Oil & Gas"
KO,Coca-Cola Company,Consumer Staples,"Soft Drinks & Non-alcoholic Beverages"
ADBE,Adobe Inc.,Information Technology,"Application Software"
PEP,PepsiCo Inc.,Consumer Staples,"Soft Drinks & Non-alcoholic Beverages"
WMT,Walmart Inc.,Consumer Staples,"Consumer Staples Merchandise Retail"
BAC,Bank of America Corporation,Financials,"Diversified Banks"
CRM,Salesforce Inc.,Information Technology,"Application Software"
NFLX,Netflix Inc.,Communication Services,"Movies & Entertainment"
AMD,Advanced Micro Devices Inc.,Information Technology,"Semiconductors"
TMO,Thermo Fisher Scientific Inc.,Health Care,"Life Sciences Tools & Services"
MCD,McDonald's Corporation,Consumer Discretionary,"Restaurants"
CSCO,Cisco Systems Inc.,Information Technology,"Communications Equipment"
ACN,Accenture plc,Information Technology,"IT Consulting & Other Services"
ABT,Abbott Laboratories,Health Care,"Health Care Equipment"
LIN,Linde plc,Materials,"Industrial Gases"
DHR,Danaher Corporation,Health Care,"Life Sciences Tools & Services"
WFC,Wells Fargo & Company,Financials,"Diversified Banks"
TXN,Texas Instruments Incorporated,Information Technology,"Semiconductors"
DIS,Walt Disney Company,Communication Services,"Movies & Entertainment"
INTC,Intel Corporation,Information Technology,"Semiconductors"
VZ,Verizon Communications Inc.,Communication Services,"Integrated Telecommunication Services"
PM,Philip Morris International Inc.,Consumer Staples,"Tobacco"
INTU,Intuit Inc.,Information Technology,"Application Software"
IBM,International Business Machines Corporation,Information Technology,"IT Consulting & Other Services"
QCOM,Qualcomm Incorporated,Information Technology,"Semiconductors"
CAT,Caterpillar Inc.,Industrials,"Construction Machinery & Heavy Transportation Equipment"
GE,GE Aerospace,Industrials,"Aerospace & Defense"
COP,ConocoPhillips,Energy,"Oil & Gas Exploration & Production"
HON,Honeywell International Inc.,Industrials,"Industrial Conglomerates"
BA,Boeing Company,Industrials,"Aerospace & Defense"
UPS,United Parcel Service Inc.,Industrials,"Air Freight & Logistics"
NEE,NextEra Energy Inc.,Utilities,"Electric Utilities"
DUK,Duke Energy Corporation,Utilities,"Electric Utilities"
SO,Southern Company,Utilities,"Electric Utilities"
AMT,American Tower Corporation,Real Estate,"Telecom Tower REITs"
PLD,Prologis Inc.,Real Estate,"Industrial REITs"
EQIX,Equinix Inc.,Real Estate,"Data Center REITs"
SHW,Sherwin-Williams Company,Materials,"Specialty Chemicals"
APD,Air Products and Chemicals Inc.,Materials,"Industrial Gases"
T,AT&T Inc.,Communication Services,"Integrated Telecommunication Services"
CMCSA,Comcast Corporation,Communication Services,"Cable & Satellite"
PFE,Pfizer Inc.,Health Care,"Pharmaceuticals"
AMGN,Amgen Inc.,Health Care,"Biotechnology"
